Link,Step2Value,Dropdown1,Dropdown2,Dropdown3,Step5Option1,Step5Option2,Step6Option1,Step6Option2,Step6Option3,"January 13, 2025"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,AMD A10,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹3,250"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,AMD Ryzen 3 ,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹5,480"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,AMD Ryzen 5,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹7,560"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,AMD Ryzen 7,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,150"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Celeron Dual Core,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹1,620"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core 2 Duo,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,₹550
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3 2nd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3 3rd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3 4th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹3,530"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3 5th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹4,720"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3 6th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹5,530"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3 7th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹6,400"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3 8th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹7,400"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3 9th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹8,550"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3 10th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3 11th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,980"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i3 12th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹11,560"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5 2nd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5 3rd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5 4th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹5,230"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5 5th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹6,400"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5 6th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹7,730"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5 7th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹8,480"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5 8th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹9,860"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5 9th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5 10th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5 11th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹14,550"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i5 12th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹15,970"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7 2nd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7 3rd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7 4th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹7,190"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7 5th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹9,230"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7 6th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,980"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7 7th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹12,810"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7 8th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹14,310"
